species	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Hibiscus_verdcourtii	ddHibVerd5	2	31	90.2384	96.162	3.83804	9.76165	NA	1529307614	835235156	836713649	692721297	693947518	78.1284	90.6521	0.109387	0.109387
Hieracium_aggregatifolium	daHieAggr1	2	31	96.682	97.7037	2.29626	3.31805	NA	111080940	94726024	102122832	12332092	13295060	40.6637	85.4908	2.06463	2.06463
Hieracium_attenboroughianum	daHieAtte1	2	31	96.5275	97.4359	2.56405	3.47253	NA	221566871	190724031	203909580	23679172	25316212	39.8047	85.5203	1.78475	1.78475
Hieracium_britannicum	daHieBrit1	2	31	98.2626	98.4861	1.51389	1.73742	NA	3302695456	2413601235	2517135819	821171148	856396360	56.9746	95.2565	0.314939	0.314939
Hieracium_drummondii	daHieDrum1	2	31	96.7393	97.6333	2.36675	3.26067	NA	160007376	136420422	146334734	18166632	19486886	40.8688	85.7182	1.96826	1.96826
Hieracium_radyrense	daHieRady1	2	31	96.4543	97.3775	2.6225	3.5457	NA	387522422	333104823	355587701	42166586	45012615	40.7016	85.2404	1.65605	1.65605
Hieracium_richianum	daHieRich1	2	31	96.7369	97.7238	2.27623	3.26306	NA	128530937	110013767	118172260	14080347	15124529	41.0717	86.2491	1.9893	1.9893
Hieracium_sabaudum	daHieSaba1	2	31	96.6547	97.5571	2.44291	3.34526	NA	292968042	252032932	270183246	31094637	33333937	40.4809	86.3002	1.75571	1.75571
Hieracium_scullyi	daHieScul1	2	31	95.0203	96.7103	3.2897	4.97967	NA	1235719137	1031646567	1079949640	176437471	184698509	39.8627	82.1246	0.993346	0.993346
Hieracium_snowdoniense	daHieSnow1	2	31	96.8357	97.0294	2.97058	3.16433	NA	4864271779	3989452649	4016284914	858570354	864344927	63.4579	94.3137	0.0814472	0.0814472
Hieracium_sp_SM_2023a	daHieSpea1	2	31	93.028	96.7861	3.21393	6.97195	NA	1277223802	1003153457	1037919465	252679489	261436531	45.8121	83.5194	0.705928	0.705928
Hippophae_rhamnoides	drHipRham1	2	31	98.7591	98.9052	1.09482	1.24092	NA	1221355119	695007317	697745714	523951116	526015535	49.1184	97.8098	0.131034	0.131034
Hippuris_vulgaris	daHipVulg1	2	31	99.9472	99.9607	0.039336	0.0528431	NA	551692022	170118691	170254504	381353286	381657738	89.4074	97.1191	0.0799144	0.0799144
Hippuris_vulgaris	daHipVulg2	2	31	95.3865	97.7886	2.21143	4.61349	NA	1999286	1635609	1838839	253195	284656	21.5904	83.22	4.37665	4.37665
Homogyne_alpina	daHomAlpi1	4	31	NA	NA	NA	NA	NA	3336973545	2309021530	2429192555	945412751	994615939	62.5848	91.6067	0.131056	0.131056
Honckenya_peploides	dcHonPepl1	2	31	99.7951	100	0	0.20487	NA	3578196356	2527636639	2548332537	1036029827	1044512679	42.2615	94.8726	0.17044	0.17044
Hornungia_petraea	ddHorPetr1	2	31	99.9335	99.9464	0.0536171	0.0664891	NA	184781611	77232378	77298285	107470457	107562168	88.437	97.8368	0.255381	0.255381
Hottonia_palustris	ddHotPalu2	2	31	99.8175	100	0	0.182522	NA	840133051	377171828	378390993	461607781	463099876	80.8235	98.5626	0.0819972	0.0819972
Humulus_lupulus	drHumLupu1	2	31	99.5676	99.7798	0.220211	0.432416	NA	2520749139	1378011817	1385078073	1136307266	1142134094	69.5603	98.1418	0.111741	0.111741
Hydrocotyle_ranunculoides	drHydRanu1	2	31	96.9088	96.963	3.03695	3.09118	NA	612462561	286374934	287826055	324543713	326188243	78.2321	93.6606	0.22763	0.22763
Hydrocotyle_vulgaris	drHydVulg1	2	31	24.5849	100	0	75.4151	NA	467225887	183225666	183555816	283580036	284091013	86.5187	91.9654	0.201115	0.201115
Hypericum_androsaemum	ddHypAndr1	2	31	99.8328	99.8539	0.146053	0.167175	NA	402232702	128362943	128587731	273518182	273997163	83.3331	96.4727	0.145257	0.145257
Hypericum_hircinum	ddHypHirc1	2	31	99.8251	99.854	0.146014	0.174908	NA	447047770	169183290	169523543	277415842	277973767	82.7931	97.1155	0.102243	0.102243
Hypericum_hirsutum	ddHypHirs1	2	31	99.7194	99.7352	0.26476	0.280639	NA	400966059	167169355	167418590	233498246	233846372	86.1252	96.8168	0.11003	0.11003
Hypericum_linariifolium	ddHypLina1	2	31	99.9014	99.9443	0.0556909	0.0985892	NA	341274546	117001237	117259761	223897103	224391822	85.6757	99.0517	0.0870673	0.0870673
Hypericum_maculatum	ddHypMacu1	4	31	NA	NA	NA	NA	NA	360590428	126806850	127121802	233336886	233916429	87.3569	94.8287	0.125571	0.125571
Hypericum_perforatum	ddHypPerf1	4	31	NA	NA	NA	NA	NA	396736466	176286342	177002723	219647271	220539858	75.3937	97.1293	0.186574	0.186574
Hypericum_pulchrum	ddHypPulc1	2	31	99.8355	99.8567	0.143287	0.164521	NA	421939750	177237123	177492887	244398623	244751305	84.389	98.3427	0.0776395	0.0776395
Hypericum_tetrapterum	ddHypTetr1	2	31	99.9492	99.9641	0.0358731	0.0507566	NA	348380523	102864406	102969321	245338635	245588865	86.5222	98.2575	0.127347	0.127347
Hypochaeris_maculata	daHypMacu1	2	31	98.9848	99.3632	0.636765	1.01524	NA	3788550981	2776734382	2824566700	979738196	996615270	56.5432	94.2099	0.099382	0.099382
Hypochaeris_radicata	daHypRadi1	2	31	98.5954	98.6381	1.36189	1.40457	NA	1281076369	855180434	858715379	423259127	425008697	70.399	95.1744	0.0922545	0.0922545
Ilex_aquifolium	drIleAqui2	2	31	99.0067	99.0307	0.969327	0.993279	NA	815641058	367205733	368112786	447430430	448535650	81.1427	95.086	0.151199	0.151199
Illecebrum_verticillatum	dcIllVert1	2	31	99.8814	99.9193	0.080666	0.118589	NA	376381193	117650119	117963065	258231820	258918710	81.0863	85.1088	0.243194	0.243194
Impatiens_glandulifera	ddImpGlad1	2	31	98.7406	98.7724	1.22764	1.25936	NA	828747459	440835166	442668551	386196095	387802242	79.757	97.0583	0.124776	0.124776
Impatiens_noli_tangere	ddImpNoli1	2	31	99.8365	100	0	0.163543	NA	643692426	337094826	339394137	304417172	306493590	75.2601	97.9626	0.16398	0.16398
Impatiens_parviflora	ddImpParv1	2	31	99.777	100	0	0.223012	NA	1980836078	1197767046	1207439605	775134990	781394587	70.9159	96.1346	0.0757976	0.0757976
Inula_conyza	daInuConz1	2	31	88.5665	97.8311	2.16887	11.4335	NA	1695964217	1116007730	1118733514	577890386	579301850	73.3064	85.9903	0.168921	0.168921
Inula_salicina	daInuSali1	2	31	98.7158	98.7942	1.20582	1.28422	NA	1546791016	904192343	910412011	637315062	641698961	67.5348	97.2948	0.0672487	0.0672487
Jacobaea_erucifolia	daJacEruc1	2	31	95.4877	96.8559	3.1441	4.51227	NA	637745330	544978697	577551031	74783067	79252708	37.1909	80.5855	1.1916	1.1916
Jacobaea_maritima	daJacMari1	4	31	NA	NA	NA	NA	NA	1114962839	814123986	819411385	297241604	299172065	64.748	88.887	0.0823916	0.0823916
Jacobaea_vulgaris	daJacVulg1	2	31	98.7672	98.8519	1.14809	1.23278	NA	1988805428	1377665937	1387285875	604243946	608463248	66.5408	97.7854	0.0900476	0.0900476
Jasione_montana	daJasMont1	2	31	97.8327	97.991	2.00899	2.16729	NA	1352354727	852291173	861098345	493147723	498243678	71.3468	97.4831	0.180833	0.180833
Kali_turgidum	dcKalTurg1	2	31	89.8665	96.8388	3.16116	10.1335	NA	958772287	567536946	570357738	388864462	390797210	69.1819	90.3944	0.30927	0.30927
Kalmia_procumbens	ddKalProc1	2	31	99.5238	99.5644	0.435618	0.476246	NA	489553423	179601104	180519204	308707413	310285489	78.0314	88.6982	0.151108	0.151108
Kickxia_elatine	daKicElat1	2	31	91.8132	97.6036	2.39641	8.1868	NA	492677668	372325205	400287853	103144132	110890540	50.8212	79.2735	2.1296	2.1296
Knautia_arvensis	daKnaArve1	4	31	NA	NA	NA	NA	NA	3254629072	2344565110	2360162229	899309862	905292483	73.1454	94.0041	0.107158	0.107158
Laburnum_anagyroides	drLabAnag1	2	31	99.2838	99.3004	0.699638	0.716223	NA	1226872566	548401231	549210422	677567515	678567297	85.9153	96.0088	0.0761184	0.0761184
Lactuca_saligna	daLacSali1	2	31	99.7799	99.851	0.149006	0.220089	NA	2332149741	1233618651	1236753101	1095575768	1098359470	74.4349	94.4868	0.0726502	0.0726502
Lactuca_serriola	daLacSerr1	2	31	99.733	100	0	0.266971	NA	2843020508	1626701734	1638234818	1206311419	1214863996	71.4092	98.5023	0.0800469	0.0800469
Lamium_album	daLamAlbu1	2	31	99.1357	99.1808	0.819174	0.864305	NA	828102115	520466873	524027811	304821631	306907164	72.3494	95.7583	0.179742	0.179742
Lamium_amplexicaule	daLamAmpl1	2	31	99.8753	99.8996	0.100403	0.124689	NA	650478546	336402596	337199375	313307432	314049509	82.1084	98.3415	0.119136	0.119136
Lamium_galeobdolon	daLamGalo1	2	31	97.8902	98.0112	1.9888	2.10977	NA	2800426778	2373457761	2392763050	415671816	419052817	60.0096	86.7294	0.19335	0.19335
Lamium_purpureum	daLamPurp1	2	31	99.7972	99.8287	0.171251	0.202809	NA	654474078	367816550	369102641	285517312	286515639	76.2967	96.6004	0.190719	0.190719
Lapsana_communis	daLapComm1	2	31	99.5954	100	0	0.404568	NA	1055441997	602290711	609754713	446691458	452227167	69.842	96.0334	0.167371	0.167371
Lathraea_clandestina	daLatClan1	2	31	96.4668	97.6208	2.37916	3.5332	NA	25700081	22156940	24140834	2487125	2709818	36.7147	85.4772	2.26997	2.26997
Lathraea_squamaria	daLatSqua1	2	31	73.8619	100	0	26.1381	NA	274560532	150350463	150543511	124034029	124193287	83.4951	91.3681	0.134732	0.134732
Lathyrus_aphaca	drLatApha1	2	31	89.2982	97.637	2.36295	10.7018	NA	2134578454	1582651966	1588118465	548252747	550146419	65.8115	86.2685	0.0985523	0.0985523
Lathyrus_latifolius	drLatLati1	2	31	96.6777	97.5277	2.47233	3.32227	NA	655847172	574017048	613408268	60771866	64942261	43.2554	87.0728	1.2195	1.2195
Lathyrus_linifolius	drLatLini1	2	31	98.3427	98.4103	1.58967	1.65731	NA	5343471255	4027778184	4072544726	1286324611	1300621402	35.6431	96.2989	0.129678	0.129678
Lathyrus_nissolia	drLatNiss1	2	31	85.9942	100	0	14.0058	NA	1962828059	1181957914	1203632621	763197093	777192578	56.2121	83.4564	0.188864	0.188864
Lathyrus_pratensis	drLatPrat1	2	31	0	100	0	100	NA	23228681780 bp 	34367043	Inf	25668059	Inf	56.9636	-25.4149	0.0226987	0.0226987
Lathyrus_sylvestris	drLatSylv1	2	31	96.5828	97.4172	2.5828	3.41723	NA	1053961106	915466314	977882017	104858974	112008168	36.9098	86.8177	1.05487	1.05487
Leontodon_hispidus	daLeoHisp1	2	31	98.6776	98.7438	1.25622	1.32244	NA	2048793038	1376689222	1392216490	660678812	668130411	65.054	96.7132	0.147157	0.147157
Leontodon_saxatilis	daLeoSaxa1	6	31	NA	NA	NA	NA	NA	215871742	97747799	97949183	117902026	118144933	84.4198	86.357	0.0900349	0.0900349
Lepidium_campestre	ddLepCamp1	2	31	99.9459	99.9625	0.0375185	0.0540777	NA	211647143	76648393	76735396	134878766	135031867	88.033	93.3746	0.0924983	0.0924983
Lepidium_didymum	ddLepDidy1	2	31	80.273	100	0	19.727	NA	195655729	80401969	80465954	115175969	115267627	91.2049	92.2595	0.155459	0.155459
Lepidium_draba	ddLepDrab1	4	31	NA	NA	NA	NA	NA	436622904	232640749	239857982	197413248	203537616	75.7748	87.5505	0.204356	0.204356
Lepidium_latifolium	ddLepLati1	3	31	NA	NA	NA	NA	NA	381051442	146883554	147063133	233935237	234221245	88.1946	94.9008	0.0934729	0.0934729
Leucanthemum_vulgare	daLeuVulg1	4	31	NA	NA	NA	NA	NA	4680304324	3326684675	3373889251	1320878240	1339621073	68.6342	93.9899	0.104695	0.104695
Levisticum_officinale	drLevOffi1	2	31	99.7304	100	0	0.269616	NA	4404862542	3103547110	3132698613	1280820584	1292851284	58.9115	96.0176	0.0825586	0.0825586
Ligusticum_scoticum	drLigScot1	2	31	95.6943	96.9423	3.05772	4.3057	NA	709696083	603554731	639471090	86211054	91341304	38.3777	80.631	0.852334	0.852334
Ligustrum_vulgare	daLigVulg1	2	31	99.3515	99.4435	0.556486	0.648544	NA	1579918002	826446119	829559260	750507353	753334440	75.1971	96.4242	0.159547	0.159547
Limonium_binervosum	dcLimBine1	2	31	95.4128	96.6584	3.34161	4.58716	NA	1435099019	1116860156	1194862996	271395919	290350533	50.69	90.0923	0.764814	0.764814
Limosella_aquatica	daLimAqua2	2	31	87.4123	97.8851	2.11494	12.5877	NA	370271435	205886043	207117958	163284225	164261233	71.7756	92.5014	0.219662	0.219662
Limosella_aquatica	daLimAqua3	2	31	99.7608	99.9205	0.0795221	0.239238	NA	880663314	521048216	527020995	354624778	358689844	62.8372	97.9829	0.65187	0.65187
Linaria_purpurea	daLinPurp1	2	31	98.817	98.8472	1.15276	1.18304	NA	902086405	474195773	475718265	426447111	427816297	77.3596	96.4131	0.246566	0.246566
Linaria_vulgaris	daLinVulg1	2	31	98.1945	98.3544	1.64556	1.80546	NA	831725333	403626873	405853493	425816926	428165959	58.5938	96.8694	0.2361	0.2361
Linnaea_borealis	daLinBore1	2	31	98.2878	98.3176	1.68242	1.71223	NA	832922258	446965031	448377754	384645065	385860813	78.0915	97.1186	0.140505	0.140505
Linum_bienne	ddLinBien1	2	31	99.7458	99.8061	0.193869	0.254184	NA	533922349	271391200	271837992	262092373	262523855	80.828	94.6501	0.0658905	0.0658905
Linum_catharticum	ddLinCath4	2	31	99.8864	99.9327	0.0672825	0.113599	NA	597858349	308673408	309457753	288427282	289160180	75.6689	96.8603	0.3109	0.3109
Lithospermum_officinale	daLitOffi1	2	31	99.7714	99.7907	0.209347	0.228573	NA	544594474	255189817	255657424	288906615	289436005	84.398	95.0042	0.100799	0.100799
Littorella_uniflora	daLitUnif1	2	31	97.0021	97.8901	2.10988	2.99788	NA	12383599	10845795	11427756	1222485	1288081	51.4498	84.9126	2.60225	2.60225
Lobelia_dortmanna	daLobDort1	2	31	99.1744	99.2965	0.703512	0.82561	NA	905817671	514076805	524695683	382574822	390477368	66.7984	83.6934	0.274613	0.274613
Lobelia_urens	daLobUren4	2	31	99.6069	99.6305	0.369459	0.393141	NA	459287537	182303059	182572341	276645769	277054405	84.5256	90.9916	0.319085	0.319085
Logfia_minima	daLogMini1	2	31	44.4221	100	0	55.5779	NA	281467773	75865243	75932316	205478217	205659879	88.6901	95.1182	0.273746	0.273746
Lonicera_periclymenum	daLonPeri1	6	31	NA	NA	NA	NA	NA	891222756	446074739	450937320	440342867	445142966	81.7348	97.1787	0.141594	0.141594
Lotus_corniculatus	drLotCorn1	2	31	97.1417	97.234	2.76598	2.85829	NA	733147244	304313390	310069901	422028340	430011593	76.3878	94.3562	0.370813	0.370813
Lotus_corniculatus	drLotCorn2	4	31	NA	NA	NA	NA	NA	522521166	257281479	259117254	263388728	265268079	79.5982	94.7046	0.290508	0.290508
Lotus_pedunculatus	drLotPedu2	2	31	83.9847	100	0	16.0153	NA	161098329	98750698	101560039	60119490	61829819	53.5442	74.7236	1.35146	1.35146
Lotus_pedunculatus	drLotPedu3	2	31	98.6887	98.7131	1.28688	1.31134	NA	523570004	224117641	224686998	298789000	299548054	80.4254	95.991	0.216523	0.216523
Ludwigia_grandiflora	drLudGran1	4	31	NA	NA	NA	NA	NA	478064279	404529049	417711398	65991732	68142198	81.4999	91.166	0.11714	0.11714
Lunaria_annua	ddLunAnnu1	2	31	99.2784	99.3475	0.652502	0.721561	NA	476462788	295736733	298883784	178217635	180114119	70.1954	89.5465	0.0466986	0.0466986
Lycopus_europaeus	daLycEuro1	2	31	99.6632	99.6964	0.303621	0.336792	NA	476390746	233930924	234331138	242053009	242467118	57.7662	97.5353	0.322777	0.322777
Lysimachia_nemorum	ddLysNemo1	2	31	99.1733	99.239	0.760958	0.826745	NA	1176887989	748255092	756273130	422394191	426920418	67.8767	88.7394	0.0880977	0.0880977
Lysimachia_nummularia	ddLysNumm1	2	31	91.9906	96.9869	3.01311	8.00942	NA	290764406	205375815	214434841	79246767	82742303	46.1899	73.0576	1.97407	1.97407
Lysimachia_thyrsiflora	ddLysThyr1	2	31	99.4245	99.4442	0.555825	0.575519	NA	1260048106	491204101	492176317	767599492	769118765	84.0115	98.2048	0.0595626	0.0595626
Lysimachia_vulgaris	ddLysVulg1	2	31	98.5879	98.6793	1.32065	1.41207	NA	1891565872	988858928	1005792071	886784093	901969314	70.4785	97.7818	0.317846	0.317846
Lythrum_hyssopifolia	drLytHyso1	2	31	99.8681	99.8948	0.105232	0.131883	NA	707681841	302868137	303649197	403903539	404945156	82.6995	95.1326	0.0827806	0.0827806
Lythrum_salicaria	drLytSali1	4	31	NA	NA	NA	NA	NA	716503082	298705152	300705467	415414814	418196690	71.3396	96.0547	0.201549	0.201549
Malus_domestica	drMalDome10	2	31	98.7109	98.7673	1.23274	1.28907	NA	683540670	292916867	293660911	389757865	390747897	64.6238	98.5088	0.140451	0.140451
Malus_domestica	drMalDome11	2	31	98.7377	98.7562	1.24376	1.26233	NA	675518651	283972407	284488332	390933711	391643965	66.1852	98.4467	0.128712	0.128712
Malus_domestica	drMalDome58	3	31	NA	NA	NA	NA	NA	681441209	293038514	294441225	386779510	388630940	64.9935	96.7967	0.206336	0.206336
Malus_domestica	drMalDome5	2	31	98.7957	98.82	1.18002	1.20427	NA	702958127	309839974	310774376	392061364	393243726	64.9034	98.9819	0.120979	0.120979
Malus_sylvestris	drMalSylv7	2	31	99.0298	99.2346	0.765438	0.970198	NA	713175580	323357152	324877523	388149659	389974673	61.2195	98.0911	0.131679	0.131679
Malus_x_robusta	drMalRobu1	2	31	98.0405	98.1054	1.8946	1.95952	NA	659392547	285241677	286567888	372625065	374357558	79.0365	97.4919	0.182321	0.182321
Malva_arborea	ddMalArbo1	2	31	46.4948	100	0	53.5052	NA	414401294	187882063	192200478	221863788	226963263	72.4193	83.6679	0.140376	0.140376
Malva_neglecta	ddMalNegl1	2	31	99.9459	99.966	0.0339705	0.0541448	NA	599396393	252386668	252750614	346578177	347077949	84.165	96.094	0.0814104	0.0814104
Malva_sylvestris	ddMalSylv1	2	31	99.5997	99.6356	0.364402	0.40026	NA	618369475	280909794	281723872	336566252	337541622	82.169	97.8275	0.0739906	0.0739906
Matricaria_chamomilla	daMatCham1	2	31	97.4921	97.5525	2.44749	2.50786	NA	2643972508	1718347865	1725679198	920008349	923933566	69.7913	94.8405	0.119884	0.119884
Matricaria_discoidea	daMatDisc1	2	31	99.8098	100	0	0.190216	NA	2299499900	1234701543	1240167438	1059730966	1064422286	73.6701	98.9263	0.0563396	0.0563396
Matthiola_sinuata	ddMatSinu1	2	31	99.9214	99.9583	0.0417052	0.0786215	NA	2155343999	1240261826	1244704588	911235605	914499757	70.8585	97.8991	0.0716983	0.0716983
Meconopsis_cambrica	dmMecCamb1	2	31	96.7611	97.5464	2.4536	3.23894	NA	79712806	67778745	72280570	9451699	10079476	44.9189	87.0631	2.39053	2.39053
Medicago_arabica	drMedArab1	2	31	99.9052	99.9222	0.0778313	0.0948204	NA	554951508	207071114	207278536	347602726	347950918	68.5871	97.5335	0.152348	0.152348
Medicago_lupulina	drMedLupu1	2	31	99.8655	99.8973	0.102704	0.13454	NA	630218428	301067856	301966273	328213053	329192473	79.0331	92.2132	0.140762	0.140762
Medicago_sativa	drMedSati1	4	31	NA	NA	NA	NA	NA	778717016	414030385	418392535	360627189	364426692	79.2443	96.7483	0.168638	0.168638
Melampyrum_pratense	daMelPrat1	2	31	97.0066	97.5185	2.48151	2.99345	NA	49093661	41273140	43312130	6664939	6994202	25.3179	87.4946	2.43784	2.43784
Melampyrum_pratense	daMelPrat2	2	31	92.224	96.8775	3.12252	7.77598	NA	3206651594	2536726740	2602989395	629110003	645543188	44.6101	76.9012	0.235889	0.235889
Melampyrum_sylvaticum	daMelSylv1	2	31	89.8728	97.7291	2.27086	10.1272	NA	2268159426	1699438953	1720063425	555122256	561859247	51.8507	82.7111	0.0930828	0.0930828
Melampyrum_sylvaticum	daMelSylv3	2	31	96.1316	97.1024	2.89757	3.86839	NA	893749064	770443933	813343531	99734847	105288249	38.8788	84.9488	1.0139	1.0139
Melampyrum_sylvaticum	daMelSylv4	2	31	94.8852	96.6377	3.36225	5.11483	NA	1530324967	1276983324	1334852709	220169831	230147325	39.2913	73.4042	0.583319	0.583319
Melittis_melissophyllum	daMelMeli1	2	31	99.759	99.7942	0.205829	0.240951	NA	542486684	292871476	293448361	249081976	249572605	80.708	97.7009	0.203329	0.203329
Mentha_aquatica	daMenAqua1	2	31	99.038	99.0868	0.913247	0.962028	NA	1356727794	696704898	700961678	655903347	659910835	74.0089	97.794	0.207401	0.207401
Mentha_arvensis	daMenArve1	2	31	95.3944	96.0506	3.9494	4.60556	NA	1070401460	696108722	709972510	363841757	371088074	63.3258	83.5286	0.674646	0.674646
Menyanthes_trifoliata	daMenTrif1	4	31	NA	NA	NA	NA	NA	775826792	283367345	283976035	491627971	492684018	89.7048	97.8394	0.119182	0.119182
Mercurialis_annua	ddMerAnnu1	2	31	99.4504	99.4717	0.528304	0.549598	NA	506693754	249414967	249936836	256749798	257287014	57.7956	96.7449	0.196899	0.196899
Mercurialis_perennis	ddMerPere1	2	31	97.9548	98.0915	1.90845	2.04524	NA	746020184	511294322	529068891	222194236	229918567	62.4127	95.5475	0.580504	0.580504
Mercurialis_perennis	ddMerPere2	2	31	92.853	100	0	7.14703	NA	1278369906	993157685	1367949404	110087887	151632175	64.5615	84.3521	0.300144	0.300144
Mimulus_peregrinus	daMimPere1	2	31	91.8346	96.2989	3.70109	8.16542	NA	459382244	289026585	290279979	169363880	170098344	75.8242	87.2294	0.160747	0.160747
Misopates_orontium	daMisOron1	2	31	99.5105	99.8285	0.171476	0.489519	NA	513334787	224272947	225266511	287929779	289205352	63.7431	98.3441	0.19114	0.19114
Moehringia_trinervia	dcMoeTrin1	2	31	99.6842	99.9978	0.00220123	0.315808	NA	1364166315	783228665	786668647	577955005	580493413	69.9404	95.293	0.084748	0.084748
Mollugo_verticillata	dcMolVert1	2	31	93.1895	95.4534	4.54659	6.81047	NA	558543570	334491229	335538243	223180901	223879495	77.6661	92.4977	0.1628	0.1628
Monotropa_hypopitys	ddMonHypo1	2	31	99.5918	100	0	0.408185	NA	2808691031	1803466963	1841290911	976375887	996853330	62.6746	97.5774	0.136424	0.136424
Montia_fontana	dcMonFont1	2	31	99.4624	99.515	0.485029	0.53763	NA	279837981	75198272	75692772	203725620	205065309	80.1843	83.0828	0.0958489	0.0958489
Myosotis_alpestris	daMyoAlpe1	2	31	98.63	98.6822	1.31779	1.37005	NA	322198556	153923512	155170692	166980213	168333187	78.2659	97.1512	0.338252	0.338252
Myosotis_ramosissima	daMyoRamo1	4	31	NA	NA	NA	NA	NA	219690828	96536166	96905333	122736200	123205559	84.9183	88.6559	0.142366	0.142366
Myosotis_scorpioides	daMyoScor1	4	31	NA	NA	NA	NA	NA	496984777	343279873	346201125	151608120	152898279	81.752	89.2538	0.0977227	0.0977227
Myrica_gale	dhMyrGale1	2	31	99.4247	99.47	0.530039	0.57529	NA	661668815	257841940	259053771	402279260	404169931	79.4594	94.5737	0.144732	0.144732
Myriophyllum_alterniflorum	drMyrAlte1	4	31	NA	NA	NA	NA	NA	331460792	147573292	148385200	182980686	183987396	77.6313	89.2724	1.63232	1.63232
Myriophyllum_alterniflorum	drMyrAlte5	2	31	88.8981	98.7388	1.26121	11.1019	NA	144210294	59187768	59817986	84262855	85160067	79.7995	83.5324	1.35393	1.35393
Myriophyllum_aquaticum	drMyrAqua1	4	31	NA	NA	NA	NA	NA	264479003	100121250	100981054	163231799	164633573	89.1179	94.9622	0.378135	0.378135
Myriophyllum_aquaticum	drMyrAqua2	2	31	95.3977	96.2524	3.74761	4.60229	NA	483603386	332333980	335101025	149272766	150515625	70.6377	86.2328	0.762355	0.762355
Myriophyllum_spicatum	drMyrSpic1	2	31	87.3535	100	0	12.6465	NA	372010519	238928431	241721379	130932907	132463444	71.1864	75.2416	1.19662	1.19662
Myrrhis_odorata	drMyrOdor1	2	31	99.922	99.9674	0.0326496	0.0780392	NA	797331024	473638883	475439670	322182146	323407091	69.4411	97.7398	0.120937	0.120937
Nasturtium_officinale	ddNasOffi1	3	31	NA	NA	NA	NA	NA	109972748	39976426	40290973	69567049	70114425	79.1293	82.439	0.149457	0.149457
Nigella_damascena	dmNigDama1	2	31	96.4776	97.2779	2.72208	3.52238	NA	323918406	269678649	285986266	45004459	47725903	46.0236	86.4713	3.05143	3.05143
Nuphar_lutea	dmNupLute1	2	31	99.6287	100	0	0.371253	NA	2539702269	1493137057	1518310342	1025511331	1042800761	67.9406	96.0598	0.119061	0.119061
Nuphar_pumila	dmNupPumi1	2	31	79.6529	100	0	20.3471	NA	1104871933	583726577	585632105	519347841	521043210	71.1567	88.7819	0.169648	0.169648
Nymphaea_alba	dmNymAlba1	2	31	94.8705	95.4301	4.56986	5.12951	NA	906264433	554761555	556559903	350038723	351173430	75.5649	91.4256	0.14446	0.14446
Nymphoides_peltata	daNymPelt1	2	31	98.0058	98.0339	1.96608	1.99417	NA	729230245	292689291	293600385	435409489	436764848	83.111	95.4967	0.198024	0.198024
Odontites_vernus	daOdoVern1	2	31	99.1974	99.2605	0.739496	0.802572	NA	580460720	375185594	379422172	202034452	204315816	74.0255	90.1478	0.314508	0.314508
Oenanthe_crocata	drOenCroc1	2	31	99.2646	100	0	0.735414	NA	764260312	394087044	475995143	304417230	367688117	76.627	96.4005	0.0802617	0.0802617
Oenanthe_lachenalii	drOenLach1	2	31	99.6879	99.7132	0.286844	0.312141	NA	585771680	311083173	311749758	274062257	274649515	80.206	92.8796	0.0923044	0.0923044
Oenanthe_pimpinelloides	drOenPimp1	2	31	99.6564	100	0	0.343598	NA	979131317	565069761	660721687	343187694	401280634	78.8056	97.2328	0.0849941	0.0849941
Oenothera_biennis	drOenBien1	2	31	98.1529	98.2251	1.77494	1.84706	NA	839615959	594984045	600375686	240861851	243044499	73.5061	90.6632	0.12534	0.12534
Onobrychis_viciifolia	drOnoVici1	4	31	NA	NA	NA	NA	NA	581153040	343137981	346799973	234946752	237454120	76.0281	94.4957	0.236458	0.236458
Ononis_reclinata	drOnoRecl1	2	31	85.7927	99.0762	0.923808	14.2073	NA	636363319	331832503	332330273	304054239	304510339	81.2036	90.2598	0.117252	0.117252
Ononis_repens	drOnoRepe1	2	31	98.765	98.816	1.18397	1.23501	NA	1113028701	951195239	956622464	158676179	159581536	72.91	93.08	0.131389	0.131389
Onopordum_acanthium	daOnoAcan1	2	31	99.9813	100	0	0.0186899	NA	1223498705	660057153	660777530	562774626	563388829	86.3126	96.3656	0.0700823	0.0700823
Origanum_vulgare	daOriVulg1	2	31	98.274	98.3896	1.61039	1.72601	NA	1195561466	815687517	827617792	371256821	376686837	60.7859	93.9729	0.569276	0.569276
Ornithopus_perpusillus	drOrnPerp1	2	31	99.7666	100	0	0.233419	NA	572158664	263933522	265933130	306074051	308392923	81.0727	98.5951	0.136605	0.136605
Orobanche_alba	daOroAlba1	2	31	90.7902	96.7786	3.22142	9.20983	NA	1429073656	1017233553	1021592671	408791187	410542967	64.6709	86.1396	0.0951403	0.0951403
