species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Cymbalaria muralis	daCymMura1.hap2.1	Chromosome	387736741	387714941	daCymMura1	2	31	99.7896	99.8179	0.182108	0.2104	558156753	559358869	303258759	303911895	254897994	255446974	80.3015	95.5322	0.164904	0.164904
Cynodontium bruntonii	cbCynBrun3.1	Chromosome	266506388	266452288	cbCynBrun3	2	31	99.837	99.8562	0.14377	0.16297	263647376	264051175	58582945	58672670	205064431	205378505	89.5867	95.3255	0.539155	0.539155
Cyperus fuscus	lpCypFusc1.hap1.1	Chromosome	227451586	227438986	lpCypFusc1	2	31	99.889	99.9351	0.0649089	0.110998	257074742	257617709	86401691	86584180	170673051	171033529	81.738	82.0182	0.157739	0.157739
Cyperus fuscus	lpCypFusc1.hap1.2	Chromosome	227451586	227438986	lpCypFusc1	2	31	99.889	99.9351	0.0649089	0.110998	257074742	257617709	86401691	86584180	170673051	171033529	81.738	82.0182	0.157739	0.157739
Cyperus fuscus	lpCypFusc1.hap2.1	Scaffold	224746525	224732525	lpCypFusc1	2	31	99.889	99.9351	0.0649089	0.110998	257074742	257617709	86401691	86584180	170673051	171033529	81.738	82.0182	0.157739	0.157739
Cyperus fuscus	lpCypFusc1.hap2.2	Scaffold	224746525	224732525	lpCypFusc1	2	31	99.889	99.9351	0.0649089	0.110998	257074742	257617709	86401691	86584180	170673051	171033529	81.738	82.0182	0.157739	0.157739
Descurainia sophia	ddDesSoph1.hap1.1	Chromosome	262068144	262040344	ddDesSoph1	2	31	92.1293	92.7994	7.20055	7.87074	162172613	162256715	57422647	57452426	104749967	104804289	93.1547	97.2725	0.0963602	0.0963602
Descurainia sophia	ddDesSoph1.hap2.1	Scaffold	262554721	262528521	ddDesSoph1	2	31	92.1293	92.7994	7.20055	7.87074	162172613	162256715	57422647	57452426	104749967	104804289	93.1547	97.2725	0.0963602	0.0963602
Dicranodontium denudatum	cbDicDenu2.1	Chromosome	255081649	254980349	cbDicDenu2	2	31	99.7351	99.7593	0.240695	0.26486	245462873	245925251	56284543	56390566	189178330	189534685	84.14	95.2836	0.906213	0.906213
Dicranoweisia cirrata	cbDicCirr2.1	Chromosome	198469946	198432046	cbDicCirr2	2	31	99.7492	99.7651	0.234888	0.250764	212566539	212799579	24079337	24105735	188487202	188693844	93.7596	96.3398	1.34049	1.34049
Dicranum flexicaule	cbDicFlex1.1	Chromosome	576290382	576012682	cbDicFlex1	1	31					478286342	481194559	238939500	240392370	239346842	240802189	71.7445	90.449	0.676938	0.676938
Dicranum scottianum	cbDicScot3.1	Chromosome	550331151	550011751	cbDicScot3	2	31	93.3436	96.9375	3.06253	6.6564	284933239	288804414	180570314	183023588	104362925	105780826	56.5107	68.0462	0.896951	0.896951
Dicranum tauricum	cbDicTaur3.1	Chromosome	490111222	489834896	cbDicTaur3	2	31	80.0154	100	0	19.9846	217630609	219396181	84254346	84937877	133376262	134458304	73.0968	89.1068	1.36619	1.36619
Didymodon rigidulus	cbDidRigi4.1	Chromosome	237858424	237710362	cbDidRigi4	2	31	99.6519	99.6705	0.32954	0.348069	222414627	222810031	54403575	54500292	168011052	168309738	86.6438	94.9348	0.84178	0.84178
Digitaria sanguinalis	lpDigSang1.hap1.1	Chromosome	913098568	913036368	lpDigSang1	6	31					311577596	312122710	140148457	140393651	171429139	171729059	84.7109	89.4077	0.10204	0.10204
Digitaria sanguinalis	lpDigSang1.hap2.1	Scaffold	896319243	896266043	lpDigSang1	6	31					311577596	312122710	140148457	140393651	171429139	171729059	84.7109	89.4077	0.10204	0.10204
Dilutineuron fasciculare	cbDilFasc15.1	Chromosome	216780544	216629549	cbDilFasc15	2	31	99.5969	99.6239	0.376066	0.40314	190428565	190878315	55514073	55645185	134914492	135233131	80.1591	93.2557	1.40893	1.40893
Diphasiastrum alpinum	vlDipAlpi1.hap1.1	Chromosome	3082763853	3081861053	vlDipAlpi1	2	31	99.3576	99.436	0.564001	0.642406	2967831827	2983156387	2034888257	2045395512	932943570	937760875	67.8242	95.7263	0.21217	0.21217
Diphasiastrum alpinum	vlDipAlpi1.hap2.1	Scaffold	2987715800	2986838800	vlDipAlpi1	2	31	99.3576	99.436	0.564001	0.642406	2967831827	2983156387	2034888257	2045395512	932943570	937760875	67.8242	95.7263	0.21217	0.21217
Dipsacus fullonum	daDipFull1.hap1.1	Chromosome	2838200624	2838116624	daDipFull1	2	31	99.7993	100	0	0.200734	2904798709	2914680744	1625406322	1630935904	1279392387	1283744840	73.5986	98.331	0.085083	0.085083
Dipsacus fullonum	daDipFull1.hap2.1	Scaffold	2815121415	2815046315	daDipFull1	2	31	99.7993	100	0	0.200734	2904798709	2914680744	1625406322	1630935904	1279392387	1283744840	73.5986	98.331	0.085083	0.085083
Distichium capillaceum	cbDisCapi3.1	Chromosome	287065835	287031328	cbDisCapi3	2	31	99.66	99.7015	0.298516	0.339992	275168065	276420247	64138078	64429945	211029987	211990301	81.7073	88.8786	0.661462	0.661462
Douinia ovata	cjDouOvat2.1	Chromosome	1029255173	1029217088	cjDouOvat2	2	31	99.8406	99.9525	0.0474558	0.159405	1400021652	1413527444	873586536	882013890	526435116	531513554	56.1057	96.8602	0.493982	0.493982
Draba incana	ddDraInca1.1 alternate haplotype	Contig	40513496	40513496	ddDraInca1	2	31	92.2232	95.877	4.12302	7.77677	323267627	324791611	165851940	166633818	157415687	158157793	79.5531	88.5367	0.17983	0.17983
Draba incana	ddDraInca1.1	Chromosome	667844151	667611551	ddDraInca1	2	31	92.2232	95.877	4.12302	7.77677	323267627	324791611	165851940	166633818	157415687	158157793	79.5531	88.5367	0.17983	0.17983
Draba verna	ddDraVern1.hap1.1	Chromosome	1017944964	1017635764	ddDraVern1	2	31	90.54	97.1014	2.89856	9.45997	499893617	501693207	265290663	266245695	234602954	235447512	76.9328	82.0734	0.198675	0.198675
Draba verna	ddDraVern1.hap2.1	Scaffold	877726590	877501590	ddDraVern1	2	31	90.54	97.1014	2.89856	9.45997	499893617	501693207	265290663	266245695	234602954	235447512	76.9328	82.0734	0.198675	0.198675
Dryas octopetala	drDryOcto1.1 alternate haplotype	Scaffold	255959857	255959657	drDryOcto1	2	31	98.9726	98.9973	1.00268	1.02739	234649061	235676049	80001940	80352084	154647121	155323965	86.8236	97.6557	0.152676	0.152676
Dryas octopetala	drDryOcto1.1	Chromosome	229579301	229491701	drDryOcto1	2	31	98.9726	98.9973	1.00268	1.02739	234649061	235676049	80001940	80352084	154647121	155323965	86.8236	97.6557	0.152676	0.152676
Eleocharis parvula	lpEleParv1.hap2.1	Scaffold	1218147327	1217848327	lpEleParv1	2	31	98.2639	98.4285	1.57148	1.73607	1148298788	1154170289	447500661	449788829	700798127	704381460	80.4736	98.7216	0.170383	0.170383
Eleocharis parvula	lpEleParv1.hap2.2	Scaffold	1218147327	1217848327	lpEleParv1	2	31	98.2639	98.4285	1.57148	1.73607	1148298788	1154170289	447500661	449788829	700798127	704381460	80.4736	98.7216	0.170383	0.170383
Eleocharis parvula	lpEleParv1.hap1.1	Chromosome	1152670948	1152411748	lpEleParv1	2	31	98.2639	98.4285	1.57148	1.73607	1148298788	1154170289	447500661	449788829	700798127	704381460	80.4736	98.7216	0.170383	0.170383
Eleocharis parvula	lpEleParv1.hap1.2	Chromosome	1152670948	1152411748	lpEleParv1	2	31	98.2639	98.4285	1.57148	1.73607	1148298788	1154170289	447500661	449788829	700798127	704381460	80.4736	98.7216	0.170383	0.170383
Eleocharis quinqueflora	lpEleQuin1.1 alternate haplotype	Contig	371494470	371494470	lpEleQuin1	2	31	99.6911	99.7647	0.235261	0.308853	538284493	541327339	198512204	199634366	339772288	341692973	80.92	98.1605	0.186713	0.186713
Eleocharis quinqueflora	lpEleQuin1.1	Chromosome	497056880	496937680	lpEleQuin1	2	31	99.6911	99.7647	0.235261	0.308853	538284493	541327339	198512204	199634366	339772288	341692973	80.92	98.1605	0.186713	0.186713
Empetrum nigrum	ddEmpNigr1.hap1.1	Chromosome	559961900	559763500	ddEmpNigr1	4	31					512633350	516240364	225861312	227450528	286772038	288789836	84.5253	97.9794	0.125251	0.125251
Empetrum nigrum	ddEmpNigr1.hap2.1	Scaffold	1592935160	1592358160	ddEmpNigr1	4	31					512633350	516240364	225861312	227450528	286772038	288789836	84.5253	97.9794	0.125251	0.125251
Encalypta ciliata	cbEncCili3.1	Chromosome	402542723	402427723	cbEncCili3	1	31					371601190	378198892	135533129	137939492	236068061	240259400	77.045	96.5673	0.753181	0.753181
Epilobium ciliatum	drEpiCili1.hap1.1	Chromosome	274878083	274856283	drEpiCili1	2	31	99.8974	99.9173	0.0826869	0.102641	320816768	321410037	165294880	165600550	155521889	155809487	81.7033	97.4081	0.128717	0.128717
Epilobium ciliatum	drEpiCili1.hap2.1	Scaffold	262945047	262923647	drEpiCili1	2	31	99.8974	99.9173	0.0826869	0.102641	320816768	321410037	165294880	165600550	155521889	155809487	81.7033	97.4081	0.128717	0.128717
Epilobium hirsutum	drEpiHirs1.hap1.1	Chromosome	336043468	335879268	drEpiHirs1	2	31	99.8575	99.8917	0.108298	0.142454	347518784	348664289	195999476	196645537	151519308	152018752	83.8877	97.5066	0.113066	0.113066
Epilobium hirsutum	drEpiHirs1.hap2.1	Scaffold	270042463	269942463	drEpiHirs1	2	31	99.8575	99.8917	0.108298	0.142454	347518784	348664289	195999476	196645537	151519308	152018752	83.8877	97.5066	0.113066	0.113066
Erica ciliaris	ddEriCili1.hap1.1	Chromosome	438596535	438567735	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061
Erica ciliaris	ddEriCili1.hap1.1	Chromosome	438596535	438567735	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784
Erica ciliaris	ddEriCili1.hap1.2	Chromosome	438596535	438567735	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061
Erica ciliaris	ddEriCili1.hap1.2	Chromosome	438596535	438567735	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784
Erica ciliaris	ddEriCili1.hap2.1	Scaffold	436788160	436755360	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061
Erica ciliaris	ddEriCili1.hap2.1	Scaffold	436788160	436755360	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784
Erica ciliaris	ddEriCili1.hap2.2	Scaffold	436788160	436755360	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061
Erica ciliaris	ddEriCili1.hap2.2	Scaffold	436788160	436755360	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784
Erica cinerea	ddEriCine1.hap1.1	Chromosome	321501296	321490196	ddEriCine1	2	31	99.1719	99.2378	0.762179	0.828058	465120691	466649894	195371008	196013340	269749683	270636554	76.4042	97.1069	1.21248	1.21248
Erica cinerea	ddEriCine1.hap2.1	Scaffold	324365723	324356823	ddEriCine1	2	31	99.1719	99.2378	0.762179	0.828058	465120691	466649894	195371008	196013340	269749683	270636554	76.4042	97.1069	1.21248	1.21248
Eriophorum angustifolium	lpEriAngu1.1	Chromosome	447204430	447165630	lpEriAngu1	2	31	98.6497	98.6909	1.30911	1.35026	464651905	466400083	242641410	243554309	222010494	222845773	74.364	92.3737	0.109647	0.109647
Eriophorum angustifolium	lpEriAngu1.1 alternate haplotype	Scaffold	439440267	439440067	lpEriAngu1	2	31	98.6497	98.6909	1.30911	1.35026	464651905	466400083	242641410	243554309	222010494	222845773	74.364	92.3737	0.109647	0.109647
Eriophorum vaginatum	lpEriVagi1.hap2.1	Chromosome	384020732	383805532	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665
Eriophorum vaginatum	lpEriVagi1.hap2.2	Chromosome	384020732	383805532	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665
Eriophorum vaginatum	lpEriVagi1.hap1.1	Chromosome	398675719	398457119	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665
Eriophorum vaginatum	lpEriVagi1.hap1.2	Chromosome	398675719	398457119	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665
Erodium maritimum	drEroMari8.1 alternate haplotype	Contig	10277626	10277626	drEroMari1	2	31	87.3032	99.578	0.422015	12.6968	167802478	173651695	116617841	120682876	51184637	52968818	44.9751	62.4314	1.86518	1.86518
Erodium maritimum	drEroMari8.1 alternate haplotype	Contig	10277626	10277626	drEroMari8	2	31	99.8628	99.8883	0.111679	0.137178	799284384	801456092	310187421	311030220	489096964	490425872	81.5127	98.0771	0.2094	0.2094
Erodium maritimum	drEroMari8.1	Chromosome	762646897	762576097	drEroMari1	2	31	87.3032	99.578	0.422015	12.6968	167802478	173651695	116617841	120682876	51184637	52968818	44.9751	62.4314	1.86518	1.86518
Erodium maritimum	drEroMari8.1	Chromosome	762646897	762576097	drEroMari8	2	31	99.8628	99.8883	0.111679	0.137178	799284384	801456092	310187421	311030220	489096964	490425872	81.5127	98.0771	0.2094	0.2094
Erodium moschatum	drEroMosc1.hap1.1	Chromosome	760610945	760599945	drEroMosc1	2	31	99.8419	99.8666	0.133385	0.158139	782382802	784100157	316965773	317661523	465417029	466438634	80.4915	93.7822	0.130643	0.130643
Erodium moschatum	drEroMosc1.hap2.1	Scaffold	753139276	753126876	drEroMosc1	2	31	99.8419	99.8666	0.133385	0.158139	782382802	784100157	316965773	317661523	465417029	466438634	80.4915	93.7822	0.130643	0.130643
Euonymus europaeus	drEuoEuro1.1 alternate haplotype	Contig	167770331	167770331	drEuoEuro1	2	31	99.6834	99.7049	0.295116	0.316576	440282761	440980296	195061079	195370112	245221682	245610184	84.2815	96.4914	0.232618	0.232618
Euonymus europaeus	drEuoEuro1.1	Chromosome	441882483	441875483	drEuoEuro1	2	31	99.6834	99.7049	0.295116	0.316576	440282761	440980296	195061079	195370112	245221682	245610184	84.2815	96.4914	0.232618	0.232618
Euphorbia lathyris	ddEupLath1.1 alternate haplotype	Contig	2469976	2469976	ddEupLath1	2	31	99.9146	99.9723	0.0276704	0.0853868	1232048763	1237596593	761779143	765209381	470269620	472387212	69.2852	98.4518	0.14666	0.14666
Euphorbia lathyris	ddEupLath1.1	Chromosome	1020389306	1020384506	ddEupLath1	2	31	99.9146	99.9723	0.0276704	0.0853868	1232048763	1237596593	761779143	765209381	470269620	472387212	69.2852	98.4518	0.14666	0.14666
Euphorbia maculata	ddEupMacu1.hap1.1	Chromosome	753523765	753471765	ddEupMacu1	2	31	99.9176	99.9737	0.0263365	0.0824044	772988454	774395199	301039334	301587189	471949120	472808010	81.9003	98.2432	0.149421	0.149421
Euphorbia maculata	ddEupMacu1.hap2.1	Scaffold	724523753	724476953	ddEupMacu1	2	31	99.9176	99.9737	0.0263365	0.0824044	772988454	774395199	301039334	301587189	471949120	472808010	81.9003	98.2432	0.149421	0.149421
Euphorbia peplus	ddEupPepu3.1 alternate haplotype	Contig	6464237	6464237	ddEupPepu3	2	31	99.945	99.9595	0.0405221	0.0549529	355175482	355575239	164323919	164508869	190851563	191066370	85.5613	96.8996	0.166819	0.166819
Euphorbia peplus	ddEupPepu3.1	Chromosome	277122259	277121259	ddEupPepu3	2	31	99.945	99.9595	0.0405221	0.0549529	355175482	355575239	164323919	164508869	190851563	191066370	85.5613	96.8996	0.166819	0.166819
Euphrasia confusa	daEupConf1.1 alternate haplotype	Contig	28856203	28856203	daEupConf1	4	31					465952798	471342613	327281206	331066964	138671593	140275648	75.8428	92.1195	0.119529	0.119529
Euphrasia confusa	daEupConf1.1	Chromosome	976479663	976439263	daEupConf1	4	31					465952798	471342613	327281206	331066964	138671593	140275648	75.8428	92.1195	0.119529	0.119529
Euphrasia tetraquetra	daEupTetr3.hap1.1	Chromosome	951355569	951260569	daEupTetr2	2	31	91.9287	97.4524	2.54756	8.07127	200026039	207395422	160670104	166589531	39355935	40805891	44.5607	83.49	1.34516	1.34516
Euphrasia tetraquetra	daEupTetr3.hap1.1	Chromosome	951355569	951260569	daEupTetr3	2	31	99.8019	100	0	0.198072	970320540	979756377	670530090	677050628	299790450	302705749	65.9665	94.9987	0.145129	0.145129
Euphrasia tetraquetra	daEupTetr3.hap2.1	Scaffold	903616905	903559705	daEupTetr2	2	31	91.9287	97.4524	2.54756	8.07127	200026039	207395422	160670104	166589531	39355935	40805891	44.5607	83.49	1.34516	1.34516
Euphrasia tetraquetra	daEupTetr3.hap2.1	Scaffold	903616905	903559705	daEupTetr3	2	31	99.8019	100	0	0.198072	970320540	979756377	670530090	677050628	299790450	302705749	65.9665	94.9987	0.145129	0.145129
Fagus sylvatica	dhFagSylv1.hap1.1	Chromosome	484186010	484128189	dhFagSylv1	2	31	98.7083	98.7434	1.25657	1.29168	473277769	476162959	213732137	215035089	259545631	261127871	81.2179	97.6355	0.125483	0.125483
Fagus sylvatica	dhFagSylv1.hap2.1	Scaffold	486262079	486204679	dhFagSylv1	2	31	98.7083	98.7434	1.25657	1.29168	473277769	476162959	213732137	215035089	259545631	261127871	81.2179	97.6355	0.125483	0.125483
Fallopia convolvulus	dcFalConv1.1 alternate haplotype	Scaffold	1182443773	1182361173	dcFalConv1	2	31	90.94	95.8976	4.1024	9.06005	671340596	673953381	355882727	357267784	315457869	316685597	74.2849	91.9413	0.167014	0.167014
Fallopia convolvulus	dcFalConv1.1	Chromosome	1241754740	1241656140	dcFalConv1	2	31	90.94	95.8976	4.1024	9.06005	671340596	673953381	355882727	357267784	315457869	316685597	74.2849	91.9413	0.167014	0.167014
Filago lutescens	daFilLute1.hap1.1	Chromosome	648445603	648406003	daFilLute1	2	31	99.9713	100	0	0.0286806	768330163	771297364	325106866	326362391	443223297	444934973	77.4092	86.0388	0.172493	0.172493
Filago lutescens	daFilLute1.hap2.1	Scaffold	646216717	646179517	daFilLute1	2	31	99.9713	100	0	0.0286806	768330163	771297364	325106866	326362391	443223297	444934973	77.4092	86.0388	0.172493	0.172493
Filago pyramidata	daFilPyra1.hap1.1	Chromosome	617772229	617719029	daFilPyra1	2	31	99.9306	99.9464	0.0535561	0.0693607	706662640	707535423	256463395	256780147	450199245	450755276	85.5308	98.2885	0.316928	0.316928
Filago pyramidata	daFilPyra1.hap2.1	Scaffold	614247579	614219579	daFilPyra1	2	31	99.9306	99.9464	0.0535561	0.0693607	706662640	707535423	256463395	256780147	450199245	450755276	85.5308	98.2885	0.316928	0.316928
Filipendula ulmaria	drFilUlma1.1 alternate haplotype	Scaffold	275359150	275358650	drFilUlma1	2	31	98.9947	99.0277	0.972345	1.00529	287452645	288484961	126586706	127041311	160865939	161443650	77.1968	97.0368	0.24148	0.24148
Filipendula ulmaria	drFilUlma1.1	Chromosome	274991720	274960020	drFilUlma1	2	31	98.9947	99.0277	0.972345	1.00529	287452645	288484961	126586706	127041311	160865939	161443650	77.1968	97.0368	0.24148	0.24148
Fissidens adianthoides	cbFisAdia4.1	Chromosome	577485684	577099647	cbFisAdia4	2	31	98.7279	98.791	1.209	1.27207	484084571	489364788	216774206	219138699	267310366	270226089	77.89	91.8797	1.2624	1.2624
Fissidens dubius	cbFisDubi2.1	Chromosome	316286641	316124841	cbFisDubi2	1	31					288612246	289423188	92222650	92481776	196389597	196941412	82.5435	96.291	0.753625	0.753625
Fissidens taxifolius	cbFisTaxi1.1	Chromosome	270844412	270664212	cbFisTaxi1	2	31	88.8785	97.4187	2.58127	11.1215	144602885	145543340	53656292	54005257	90946593	91538083	78.1798	90.736	2.09466	2.09466
Flexitrichum flexicaule	cbFleFlex1.1	Chromosome	282270354	282188754	cbFleFlex1	2	31	99.7526	99.7723	0.227682	0.247442	264749324	265155629	61387388	61481598	203361936	203674031	87.6379	94.9435	0.512138	0.512138
Flexitrichum gracile	cbFleGrac2.1	Chromosome	242234249	242152791	cbFleGrac2	2	31	99.57	99.5918	0.408201	0.429995	236383970	236799037	38064584	38131422	198319386	198667615	89.1257	94.8478	1.50923	1.50923
Fragaria moschata	drFraMosc1.hap1.1	Chromosome	223967537	223953537	drFraMosc1	2	31	0	100	0	100	113234526	113725689	38695549	38863393	74538977	74862295	83.5358	83.5358	0.385808	0.385808
Fragaria moschata	drFraMosc1.hap2.1	Scaffold	223522808	223504608	drFraMosc1	2	31	0	100	0	100	113234526	113725689	38695549	38863393	74538977	74862295	83.5358	83.5358	0.385808	0.385808
Fragaria vesca	drFraVesc1.hap1.1	Chromosome	219727621	219717021	drFraVesc1	2	31	99.7857	99.8213	0.178659	0.214308	239876506	240670984	79989704	80254632	159886802	160416352	80.3486	87.5859	0.17687	0.17687
Fragaria vesca	drFraVesc1.hap2.1	Chromosome	219169897	219160097	drFraVesc1	2	31	99.7857	99.8213	0.178659	0.214308	239876506	240670984	79989704	80254632	159886802	160416352	80.3486	87.5859	0.17687	0.17687
Frangula alnus	drFraAlnu1.hap1.1	Chromosome	279056038	279030638	drFraAlnu1	2	31	99.6104	99.629	0.371002	0.389575	313983131	314460515	146621769	146844695	167361362	167615820	82.671	96.3405	0.0817998	0.0817998
Frangula alnus	drFraAlnu1.hap2.1	Chromosome	281245521	281222121	drFraAlnu1	2	31	99.6104	99.629	0.371002	0.389575	313983131	314460515	146621769	146844695	167361362	167615820	82.671	96.3405	0.0817998	0.0817998
Fraxinus excelsior	daFraExce3.hap1.1	Chromosome	759711566	759640766	daFraExce3	2	31	98.428	98.4558	1.54423	1.57204	766386468	769011490	245777060	246618894	520609408	522392595	84.6538	98.1365	0.113548	0.113548
Fraxinus excelsior	daFraExce3.hap1.2	Chromosome	759711566	759640766	daFraExce3	2	31	98.428	98.4558	1.54423	1.57204	766386468	769011490	245777060	246618894	520609408	522392595	84.6538	98.1365	0.113548	0.113548
Fraxinus excelsior	daFraExce3.hap2.1	Scaffold	760969935	760896535	daFraExce3	2	31	98.428	98.4558	1.54423	1.57204	766386468	769011490	245777060	246618894	520609408	522392595	84.6538	98.1365	0.113548	0.113548
Fraxinus excelsior	daFraExce3.hap2.2	Scaffold	760969935	760896535	daFraExce3	2	31	98.428	98.4558	1.54423	1.57204	766386468	769011490	245777060	246618894	520609408	522392595	84.6538	98.1365	0.113548	0.113548
Funaria hygrometrica	cbFunHygr2.1	Chromosome	329926193	329822093	cbFunHygr2	1	31					355594896	361133511	128111814	130107237	227483081	231026274	78.9891	97.0123	1.00127	1.00127
Galatella linosyris	daGalLino1.hap1.1	Chromosome	4455903098	4455460098	daGalLino1	2	31	99.6396	99.6978	0.302174	0.360414	4440406224	4461117486	2883189427	2896637407	1557216797	1564480080	65.5504	96.091	0.0896148	0.0896148
Galatella linosyris	daGalLino1.hap2.1	Scaffold	4428665872	4428232272	daGalLino1	2	31	99.6396	99.6978	0.302174	0.360414	4440406224	4461117486	2883189427	2896637407	1557216797	1564480080	65.5504	96.091	0.0896148	0.0896148
Galeopsis tetrahit	daGalTetr1.1 alternate haplotype	Contig	42513302	42513302	daGalTetr1	2	31	93.3117	95.5649	4.43506	6.68834	781395466	784072538	534712191	536544123	246683275	247528415	71.6762	85.9428	0.124274	0.124274
Galeopsis tetrahit	daGalTetr1.1	Chromosome	1430738615	1430688615	daGalTetr1	2	31	93.3117	95.5649	4.43506	6.68834	781395466	784072538	534712191	536544123	246683275	247528415	71.6762	85.9428	0.124274	0.124274
Galeopsis tetrahit	daGalTetr1.2	Chromosome	1427847971	1427800571	daGalTetr1	2	31	93.3117	95.5649	4.43506	6.68834	781395466	784072538	534712191	536544123	246683275	247528415	71.6762	85.9428	0.124274	0.124274
Galium aparine	daGalApar1.hap1.1	Chromosome	857556159	857548359	daGalApar1	2	31	85.8383	99.6125	0.387497	14.1617	527722433	528811398	254580011	255105341	273142422	273706057	82.1175	88.1252	0.145028	0.145028
Galium aparine	daGalApar1.hap2.1	Scaffold	853304968	853298768	daGalApar1	2	31	85.8383	99.6125	0.387497	14.1617	527722433	528811398	254580011	255105341	273142422	273706057	82.1175	88.1252	0.145028	0.145028
Galium uliginosum	daGalUlig1.hap1.1	Chromosome	528277042	528253242	daGalUlig1	2	31	98.5273	98.5656	1.43445	1.47274	540527091	542669248	266881162	267938836	273645929	274730412	73.9702	97.6846	0.237329	0.237329
Galium uliginosum	daGalUlig1.hap2.1	Scaffold	529590361	529564961	daGalUlig1	2	31	98.5273	98.5656	1.43445	1.47274	540527091	542669248	266881162	267938836	273645929	274730412	73.9702	97.6846	0.237329	0.237329
Genista pilosa	drGenPilo1.hap1.1	Chromosome	914403269	913677669	drGenPilo1	2	31	97.7952	97.9518	2.04824	2.2048	882507659	898810122	477406528	486225604	405101131	412584518	72.7918	96.3937	0.184964	0.184964
Genista pilosa	drGenPilo1.hap2.1	Scaffold	907009400	906298000	drGenPilo1	2	31	97.7952	97.9518	2.04824	2.2048	882507659	898810122	477406528	486225604	405101131	412584518	72.7918	96.3937	0.184964	0.184964
Gentianella amarella	daGenAmar1.hap1.1	Chromosome	3190605969	3190389769	daGenAmar1	4	31					1670042907	1676944072	1226341623	1231409268	443701284	445534803	67.3338	86.4483	0.104233	0.104233
Gentianella amarella	daGenAmar1.hap2.1	Chromosome	3131772627	3131581427	daGenAmar1	4	31					1670042907	1676944072	1226341623	1231409268	443701284	445534803	67.3338	86.4483	0.104233	0.104233
Geranium molle	drGerMoll1.hap1.1	Chromosome	399253194	399233794	drGerMoll1	2	31	99.9399	99.9571	0.0428922	0.0601082	490347591	490859811	221895886	222127679	268451705	268732132	86.3646	93.4961	0.0794423	0.0794423
Geranium molle	drGerMoll1.hap2.1	Scaffold	395290345	395273545	drGerMoll1	2	31	99.9399	99.9571	0.0428922	0.0601082	490347591	490859811	221895886	222127679	268451705	268732132	86.3646	93.4961	0.0794423	0.0794423
Geranium pratense	drGerPrat1.hap1.1	Chromosome	2103722344	2103715744	drGerPrat1	2	31	99.6878	99.7709	0.229088	0.312186	2130218780	2140809791	1627292922	1635383489	502925858	505426303	64.1027	96.6275	0.103205	0.103205
Geranium pratense	drGerPrat1.hap2.1	Scaffold	2093899020	2093893920	drGerPrat1	2	31	99.6878	99.7709	0.229088	0.312186	2130218780	2140809791	1627292922	1635383489	502925858	505426303	64.1027	96.6275	0.103205	0.103205
Geranium rotundifolium	drGerRotu1.1 alternate haplotype	Contig	35166720	35166720	drGerRotu1	2	31	99.6489	99.6909	0.309073	0.35108	501828477	504435722	189441918	190426162	312386558	314009560	79.0613	88.1466	0.105955	0.105955
